# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars927
# Data supplier: None / Parc Chasseral
# Location name: Observatoire astronomique de Mont-Soleil, Parc naturel régional Chasseral / Saint-Imier / Bernese Jura administrative district / Bern / Switzerland 
# Position: 47.164065, 6.989532, 0.0
# Local timezone: Europe/Zurich
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 4C:75:25:28:61:97
# TESS firmware version: Unknown
# TESS cover offset value: 0.0
# TESS zero point: 2.0
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER2024-10-01T00:00:37.000;2024-10-01T02:00:37.000;10.02;0.28;0.76;20.64;2.0;164583
2024-10-01T00:01:37.000;2024-10-01T02:01:37.000;9.99;-0.15;0.73;20.68;2.0;164584
2024-10-01T00:02:37.000;2024-10-01T02:02:37.000;10.05;-0.42;0.74;20.67;2.0;164585
2024-10-01T00:03:37.000;2024-10-01T02:03:37.000;10.07;-0.71;0.72;20.69;2.0;164586
2024-10-01T00:04:37.000;2024-10-01T02:04:37.000;10.08;-0.69;0.73;20.68;2.0;164587
2024-10-01T00:05:37.000;2024-10-01T02:05:37.000;10.02;-0.77;0.73;20.67;2.0;164588
2024-10-01T00:06:37.000;2024-10-01T02:06:37.000;10.0;-0.7;0.74;20.66;2.0;164589
2024-10-01T00:07:37.000;2024-10-01T02:07:37.000;10.06;-0.68;0.72;20.69;2.0;164590
2024-10-01T00:08:38.000;2024-10-01T02:08:38.000;10.11;-0.58;0.72;20.69;2.0;164591
2024-10-01T00:09:38.000;2024-10-01T02:09:38.000;10.08;-0.45;0.73;20.68;2.0;164592
2024-10-01T00:10:38.000;2024-10-01T02:10:38.000;10.08;-0.09;0.75;20.65;2.0;164593
2024-10-01T00:11:38.000;2024-10-01T02:11:38.000;10.04;0.13;0.78;20.6;2.0;164594
2024-10-01T00:12:38.000;2024-10-01T02:12:38.000;10.02;0.34;0.8;20.57;2.0;164595
2024-10-01T00:13:38.000;2024-10-01T02:13:38.000;10.03;0.52;0.81;20.56;2.0;164596
2024-10-01T00:14:38.000;2024-10-01T02:14:38.000;10.01;0.38;0.82;20.55;2.0;164597
2024-10-01T00:15:38.000;2024-10-01T02:15:38.000;10.02;0.33;0.83;20.53;2.0;164598
2024-10-01T00:16:38.000;2024-10-01T02:16:38.000;10.11;0.13;0.81;20.56;2.0;164599
