# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars927
# Data supplier: None/Parc Chasseral
# Location name: Observatoire astronomique de Mont-Soleil, Parc naturel régional Chasseral/Saint-Imier/Bernese Jura administrative district/Bern/Switzerland 
# Position: 47.164065, 6.989532, 0.0
# Local timezone: Europe/Zurich
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 4C:75:25:28:61:97
# TESS firmware version: Unknown
# TESS cover offset value: 0.0
# TESS zero point: 2.0
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2024-08-01T00:00:05.000;2024-08-01T02:00:05.000;17.66;3.53;0.54;21.0;2.0;77005
2024-08-01T00:01:06.000;2024-08-01T02:01:06.000;17.6;3.44;0.54;20.99;2.0;77006
2024-08-01T00:02:06.000;2024-08-01T02:02:06.000;17.48;3.61;0.55;20.99;2.0;77007
2024-08-01T00:03:06.000;2024-08-01T02:03:06.000;17.49;4.14;0.55;20.98;2.0;77008
2024-08-01T00:04:06.000;2024-08-01T02:04:06.000;17.57;4.48;0.55;20.97;2.0;77009
2024-08-01T00:05:06.000;2024-08-01T02:05:06.000;17.66;4.43;0.55;20.98;2.0;77010
2024-08-01T00:06:06.000;2024-08-01T02:06:06.000;17.72;4.34;0.55;20.99;2.0;77011
2024-08-01T00:07:06.000;2024-08-01T02:07:06.000;17.8;4.32;0.54;21.0;2.0;77012
2024-08-01T00:08:06.000;2024-08-01T02:08:06.000;17.82;4.24;0.54;21.0;2.0;77013
2024-08-01T00:09:06.000;2024-08-01T02:09:06.000;17.86;4.4;0.54;21.0;2.0;77014
2024-08-01T00:10:06.000;2024-08-01T02:10:06.000;17.9;4.31;0.54;21.0;2.0;77015
2024-08-01T00:11:06.000;2024-08-01T02:11:06.000;17.94;4.34;0.54;21.0;2.0;77016
2024-08-01T00:12:06.000;2024-08-01T02:12:06.000;17.98;4.36;0.54;21.01;2.0;77017
2024-08-01T00:13:06.000;2024-08-01T02:13:06.000;18.02;4.29;0.54;21.01;2.0;77018
2024-08-01T00:14:06.000;2024-08-01T02:14:06.000;18.03;4.24;0.54;21.01;2.0;77019
2024-08-01T00:15:06.000;2024-08-01T02:15:06.000;18.02;4.21;0.54;21.01;2.0;77020
2024-08-01T00:16:06.000;2024-08-01T02:16:06.000;18.0;4.26;0.54;21.01;2.0;77021
2024-08-01T00:17:07.000;2024-08-01T02:17:07.000;18.01;4.35;0.55;20.99;2.0;77022
2024-08-01T00:18:07.000;2024-08-01T02:18:07.000;18.03;4.4;0.61;20.87;2.0;77023
2024-08-01T00:19:07.000;2024-08-01T02:19:07.000;18.04;4.31;0.6;20.89;2.0;77024
2024-08-01T00:20:07.000;2024-08-01T02:20:07.000;18.05;4.46;0.54;21.01;2.0;77025
2024-08-01T00:21:07.000;2024-08-01T02:21:07.000;18.09;4.44;0.54;21.01;2.0;77026
2024-08-01T00:22:07.000;2024-08-01T02:22:07.000;18.11;4.33;0.54;21.01;2.0;77027
2024-08-01T00:23:07.000;2024-08-01T02:23:07.000;18.12;4.37;0.54;21.01;2.0;77028
2024-08-01T00:24:07.000;2024-08-01T02:24:07.000;18.13;4.31;0.54;21.01;2.0;77029
2024-08-01T00:25:07.000;2024-08-01T02:25:07.000;18.14;4.33;0.54;21.01;2.0;77030
2024-08-01T00:26:07.000;2024-08-01T02:26:07.000;18.13;4.23;0.54;21.01;2.0;77031
2024-08-01T00:27:07.000;2024-08-01T02:27:07.000;18.12;4.3;0.53;21.01;2.0;77032
2024-08-01T00:28:07.000;2024-08-01T02:28:07.000;18.13;4.39;0.53;21.01;2.0;77033
2024-08-01T00:29:07.000;2024-08-01T02:29:07.000;18.14;4.37;0.54;21.01;2.0;77034
2024-08-01T00:30:07.000;2024-08-01T02:30:07.000;18.14;4.31;0.54;21.01;2.0;77035
2024-08-01T00:31:07.000;2024-08-01T02:31:07.000;18.12;4.31;0.54;21.01;2.0;77036
2024-08-01T00:32:08.000;2024-08-01T02:32:08.000;18.12;4.4;0.54;21.01;2.0;77037
2024-08-01T00:33:08.000;2024-08-01T02:33:08.000;18.12;4.41;0.54;21.0;2.0;77038
2024-08-01T00:34:08.000;2024-08-01T02:34:08.000;18.11;4.4;0.54;21.0;2.0;77039
2024-08-01T00:35:08.000;2024-08-01T02:35:08.000;18.11;4.4;0.54;21.0;2.0;77040
2024-08-01T00:36:08.000;2024-08-01T02:36:08.000;18.09;4.42;0.54;21.0;2.0;77041
2024-08-01T00:37:08.000;2024-08-01T02:37:08.000;18.09;4.51;0.54;21.0;2.0;77042
2024-08-01T00:38:08.000;2024-08-01T02:38:08.000;18.09;4.43;0.54;21.0;2.0;77043
2024-08-01T00:39:08.000;2024-08-01T02:39:08.000;18.08;4.55;0.54;21.0;2.0;77044
2024-08-01T00:40:08.000;2024-08-01T02:40:08.000;18.08;4.51;0.54;21.0;2.0;77045
2024-08-01T00:41:08.000;2024-08-01T02:41:08.000;18.07;4.56;0.54;20.99;2.0;77046
2024-08-01T00:42:08.000;2024-08-01T02:42:08.000;18.07;4.58;0.54;20.99;2.0;77047
2024-08-01T00:43:08.000;2024-08-01T02:43:08.000;18.07;4.7;0.55;20.99;2.0;77048
2024-08-01T00:44:08.000;2024-08-01T02:44:08.000;18.09;4.63;0.55;20.98;2.0;77049
2024-08-01T00:45:08.000;2024-08-01T02:45:08.000;18.1;4.63;0.56;20.97;2.0;77050
2024-08-01T00:46:08.000;2024-08-01T02:46:08.000;18.14;4.69;0.56;20.96;2.0;77051
2024-08-01T00:47:09.000;2024-08-01T02:47:09.000;18.13;4.57;0.57;20.94;2.0;77052
2024-08-01T00:48:09.000;2024-08-01T02:48:09.000;18.14;4.6;0.57;20.94;2.0;77053
2024-08-01T00:49:09.000;2024-08-01T02:49:09.000;18.13;4.62;0.57;20.95;2.0;77054
2024-08-01T00:50:09.000;2024-08-01T02:50:09.000;18.14;4.58;0.56;20.96;2.0;77055
2024-08-01T00:51:09.000;2024-08-01T02:51:09.000;18.13;4.55;0.55;20.98;2.0;77056
2024-08-01T00:52:09.000;2024-08-01T02:52:09.000;18.12;4.5;0.55;20.99;2.0;77057
2024-08-01T00:53:09.000;2024-08-01T02:53:09.000;18.09;4.48;0.54;21.0;2.0;77058
2024-08-01T00:54:09.000;2024-08-01T02:54:09.000;18.07;4.43;0.54;21.0;2.0;77059
2024-08-01T00:55:09.000;2024-08-01T02:55:09.000;18.06;4.44;0.54;21.0;2.0;77060
2024-08-01T00:56:09.000;2024-08-01T02:56:09.000;18.05;4.36;0.54;21.0;2.0;77061
2024-08-01T00:57:09.000;2024-08-01T02:57:09.000;18.04;4.47;0.54;21.0;2.0;77062
2024-08-01T00:58:09.000;2024-08-01T02:58:09.000;18.04;4.24;0.54;21.0;2.0;77063
2024-08-01T00:59:09.000;2024-08-01T02:59:09.000;18.01;4.14;0.54;21.01;2.0;77064
2024-08-01T01:00:09.000;2024-08-01T03:00:09.000;17.99;4.15;0.54;21.01;2.0;77065
2024-08-01T01:01:09.000;2024-08-01T03:01:09.000;17.96;4.17;0.54;21.01;2.0;77066
2024-08-01T01:02:10.000;2024-08-01T03:02:10.000;17.95;4.3;0.54;21.01;2.0;77067
2024-08-01T01:03:10.000;2024-08-01T03:03:10.000;17.96;4.26;0.54;21.01;2.0;77068
2024-08-01T01:04:10.000;2024-08-01T03:04:10.000;17.96;4.17;0.53;21.02;2.0;77069
2024-08-01T01:05:10.000;2024-08-01T03:05:10.000;17.97;4.23;0.53;21.02;2.0;77070
2024-08-01T01:06:10.000;2024-08-01T03:06:10.000;17.97;4.23;0.53;21.03;2.0;77071
2024-08-01T01:07:10.000;2024-08-01T03:07:10.000;17.97;4.15;0.53;21.03;2.0;77072
2024-08-01T01:08:10.000;2024-08-01T03:08:10.000;17.9;3.96;0.53;21.03;2.0;77073
2024-08-01T01:09:10.000;2024-08-01T03:09:10.000;17.88;4.12;0.53;21.03;2.0;77074
2024-08-01T01:10:10.000;2024-08-01T03:10:10.000;17.87;4.35;0.53;21.03;2.0;77075
2024-08-01T01:11:10.000;2024-08-01T03:11:10.000;17.92;4.48;0.53;21.03;2.0;77076
2024-08-01T01:12:10.000;2024-08-01T03:12:10.000;17.93;4.3;0.53;21.03;2.0;77077
2024-08-01T01:13:10.000;2024-08-01T03:13:10.000;17.9;4.08;0.53;21.03;2.0;77078
2024-08-01T01:14:10.000;2024-08-01T03:14:10.000;17.85;4.02;0.52;21.04;2.0;77079
2024-08-01T01:15:10.000;2024-08-01T03:15:10.000;17.87;4.48;0.52;21.03;2.0;77080
2024-08-01T01:16:10.000;2024-08-01T03:16:10.000;17.94;4.53;0.52;21.04;2.0;77081
2024-08-01T01:17:11.000;2024-08-01T03:17:11.000;17.99;4.45;0.52;21.04;2.0;77082
2024-08-01T01:18:11.000;2024-08-01T03:18:11.000;18.02;4.45;0.52;21.05;2.0;77083
2024-08-01T01:19:11.000;2024-08-01T03:19:11.000;18.03;4.53;0.52;21.04;2.0;77084
2024-08-01T01:20:11.000;2024-08-01T03:20:11.000;18.04;4.46;0.52;21.05;2.0;77085
2024-08-01T01:21:11.000;2024-08-01T03:21:11.000;18.03;4.42;0.52;21.05;2.0;77086
2024-08-01T01:22:11.000;2024-08-01T03:22:11.000;18.06;4.44;0.52;21.05;2.0;77087
