# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars927
# Data supplier: None / Parc Chasseral
# Location name: Observatoire astronomique de Mont-Soleil, Parc naturel régional Chasseral / Saint-Imier / Bernese Jura administrative district / Bern / Switzerland 
# Position: 47.164065, 6.989532, 0.0
# Local timezone: Europe/Zurich
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 4C:75:25:28:61:97
# TESS firmware version: Unknown
# TESS cover offset value: 0.0
# TESS zero point: 2.0
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER2024-09-01T00:00:55.000;2024-09-01T02:00:55.000;19.41;4.67;0.48;21.13;2.0;121504
2024-09-01T00:01:55.000;2024-09-01T02:01:55.000;19.39;4.7;0.48;21.13;2.0;121505
2024-09-01T00:02:55.000;2024-09-01T02:02:55.000;19.38;4.68;0.48;21.13;2.0;121506
2024-09-01T00:03:55.000;2024-09-01T02:03:55.000;19.36;4.74;0.48;21.13;2.0;121507
2024-09-01T00:04:55.000;2024-09-01T02:04:55.000;19.35;4.75;0.48;21.13;2.0;121508
2024-09-01T00:05:55.000;2024-09-01T02:05:55.000;19.35;4.77;0.48;21.13;2.0;121509
2024-09-01T00:06:55.000;2024-09-01T02:06:55.000;19.35;4.78;0.48;21.13;2.0;121510
2024-09-01T00:07:55.000;2024-09-01T02:07:55.000;19.34;4.72;0.48;21.13;2.0;121511
2024-09-01T00:08:55.000;2024-09-01T02:08:55.000;19.32;4.74;0.48;21.13;2.0;121512
2024-09-01T00:09:55.000;2024-09-01T02:09:55.000;19.3;4.81;0.48;21.13;2.0;121513
2024-09-01T00:10:55.000;2024-09-01T02:10:55.000;19.31;4.79;0.48;21.13;2.0;121514
2024-09-01T00:11:55.000;2024-09-01T02:11:55.000;19.3;4.79;0.48;21.13;2.0;121515
2024-09-01T00:12:55.000;2024-09-01T02:12:55.000;19.27;4.81;0.48;21.13;2.0;121516
2024-09-01T00:13:55.000;2024-09-01T02:13:55.000;19.23;4.73;0.48;21.12;2.0;121517
2024-09-01T00:14:56.000;2024-09-01T02:14:56.000;19.17;4.7;0.48;21.12;2.0;121518
2024-09-01T00:15:56.000;2024-09-01T02:15:56.000;19.12;4.72;0.49;21.12;2.0;121519
2024-09-01T00:16:56.000;2024-09-01T02:16:56.000;19.06;4.69;0.49;21.12;2.0;121520
2024-09-01T00:17:56.000;2024-09-01T02:17:56.000;19.0;4.73;0.49;21.11;2.0;121521
